timestep,maneuver,reason,block_ahead,dist_to_block_m,vlm_notes,w_efficiency,w_comfort,w_safety,bias_KeepLane,bias_ChangeLaneLeft,bias_ChangeLaneRight,bias_Brake
34,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
35,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
37,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
38,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
39,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
40,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
41,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
42,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
43,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
44,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
45,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
46,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
47,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
48,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
49,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
50,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
51,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
52,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
53,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
54,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
55,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
56,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
57,KeepLane,ok,0,,init,1.0,1.0,1.0,0.0,0.0,0.0,0.0
